pr,number,open,additions
pr,34471,2016-06-25T16:26:42Z,15
pr,34474,2016-06-25T20:34:24Z,36
pr,34474,2016-06-25T20:34:24Z,24
pr,34475,2016-06-25T20:36:21Z,20
pr,34475,2016-06-25T20:36:21Z,20
pr,34477,2016-06-25T22:26:27Z,1
pr,34477,2016-06-25T22:26:27Z,1
pr,34479,2016-06-26T02:11:18Z,24
pr,34479,2016-06-26T02:11:18Z,24
pr,34480,2016-06-26T05:31:23Z,1
pr,34485,2016-06-26T13:40:52Z,881
pr,34485,2016-06-26T13:40:52Z,1032
pr,34491,2016-06-26T23:04:44Z,0
pr,34491,2016-06-26T23:04:44Z,0
pr,34492,2016-06-26T23:35:03Z,224
pr,34494,2016-06-27T00:41:35Z,5
pr,34494,2016-06-27T00:41:35Z,519
pr,34495,2016-06-27T03:34:33Z,4
pr,34495,2016-06-27T03:34:33Z,4
pr,34497,2016-06-27T09:47:18Z,42
pr,34497,2016-06-27T09:47:18Z,42
pr,34498,2016-06-27T14:34:55Z,22
pr,34498,2016-06-27T14:34:55Z,25
pr,34499,2016-06-27T15:20:24Z,15
pr,34499,2016-06-27T15:20:24Z,7
pr,34500,2016-06-27T15:20:32Z,98
pr,34504,2016-06-27T16:58:19Z,19
pr,34504,2016-06-27T16:58:19Z,9
pr,34507,2016-06-27T17:28:56Z,0
pr,34508,2016-06-27T17:44:24Z,273
pr,34508,2016-06-27T17:44:24Z,273
pr,34509,2016-06-27T18:00:53Z,0
pr,34512,2016-06-27T21:41:13Z,1
pr,34512,2016-06-27T21:41:13Z,1
pr,34513,2016-06-27T22:36:43Z,106
pr,34513,2016-06-27T22:36:43Z,106
pr,34515,2016-06-27T23:30:35Z,51
pr,34517,2016-06-28T01:13:47Z,1
pr,34517,2016-06-28T01:13:47Z,3
pr,34518,2016-06-28T01:24:14Z,10
pr,34518,2016-06-28T01:24:14Z,10
pr,34519,2016-06-28T02:04:20Z,59
pr,34519,2016-06-28T02:04:20Z,59
pr,34520,2016-06-28T06:22:10Z,19
pr,34520,2016-06-28T06:22:10Z,9
pr,34521,2016-06-28T10:34:18Z,26
pr,34522,2016-06-28T11:04:46Z,342
pr,34522,2016-06-28T11:04:46Z,4126
pr,34524,2016-06-28T12:22:58Z,10
pr,34525,2016-06-28T14:05:17Z,141
pr,34530,2016-06-28T17:12:23Z,434
pr,34531,2016-06-28T17:43:51Z,148
pr,34532,2016-06-28T18:32:42Z,33
pr,34532,2016-06-28T18:32:42Z,33
pr,34533,2016-06-28T18:34:36Z,123
pr,34536,2016-06-28T21:56:11Z,18
pr,34536,2016-06-28T21:56:11Z,18
pr,34539,2016-06-28T22:37:02Z,299
pr,34540,2016-06-28T23:16:44Z,4
pr,34541,2016-06-29T00:56:37Z,46
pr,34541,2016-06-29T00:56:37Z,148
pr,34542,2016-06-29T01:17:47Z,31
pr,34542,2016-06-29T01:17:47Z,31
pr,34544,2016-06-29T07:52:56Z,17
pr,34544,2016-06-29T07:52:56Z,9
pr,34545,2016-06-29T08:38:57Z,5
pr,34546,2016-06-29T09:47:04Z,22
