open,effort,label
2018-03-26T09:23:58Z,0,S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;relnotes;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;relnotes;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review
2018-03-26T13:15:02Z,218,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-26T15:19:40Z,11,NULL
2018-03-26T18:35:03Z,541,B-RFC-approved;T-libs;B-RFC-approved;T-libs
2018-03-26T20:11:26Z,190,A-NLL;I-ICE;WG-compiler-nll;A-NLL;I-ICE;WG-compiler-nll
2018-03-26T20:47:01Z,0,NULL
2018-03-26T21:45:03Z,444,B-RFC-approved;T-lang;T-compiler;WG-compiler-middle;T-compiler;WG-compiler-middle;T-compiler;WG-compiler-middle;B-RFC-approved;T-lang;T-compiler;WG-compiler-middle
2018-03-26T23:21:17Z,12,NULL
2018-03-26T23:34:23Z,239,NULL
2018-03-27T06:32:07Z,44,NULL
2018-03-27T08:17:44Z,0,S-waiting-on-review;T-libs;S-waiting-on-review;T-libs
2018-03-27T08:34:16Z,23,A-rustdoc;A-rustdoc
2018-03-27T08:47:56Z,379,S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-author;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-author;S-waiting-on-review
2018-03-27T13:38:00Z,82,NULL
2018-03-27T17:30:01Z,8,NULL
2018-03-27T17:51:37Z,417,A-associated-items;A-traits;A-typesystem;B-RFC-approved;B-unstable;C-tracking-issue;T-lang
2018-03-27T18:38:59Z,62,A-const-fn;I-ICE;I-nominated;T-compiler
2018-03-27T19:27:53Z,127,NULL
2018-03-27T21:30:25Z,42,NULL
2018-03-27T21:55:11Z,17,A-metadata;I-compiletime;WG-compiler-performance;A-metadata;I-compiletime;WG-compiler-performance
