survived,year of survival,num_easy_y1,effort_y1
0,0,0,2
0,0,0,302
0,0,0,90
0,0,0,526
0,0,0,2
0,0,0,16
0,0,0,683
1,2019,0,308
1,2017,13,53438
1,2018,0,1414
0,0,0,266
0,0,0,186
1,2014,0,11
0,0,0,2
0,0,0,37
0,0,0,36
1,2014,0,24538
1,2015,2,3098
0,0,0,5
0,0,0,2
1,2017,0,42
1,2014,0,726
0,0,0,15
0,0,2,100
0,0,0,4
1,2017,0,5
0,0,0,32
1,2017,1,13
0,0,0,6
0,0,0,85
0,0,0,140
0,0,0,2
1,2014,0,2480
0,0,1,17
0,0,0,4
0,0,8,190
0,0,0,161
0,0,0,4
1,2019,9,413
0,0,0,20
0,0,0,2
0,0,0,4
0,0,4,96
0,0,0,2
1,2015,0,630
0,0,0,108
0,0,1,13
0,0,0,2
0,0,0,2
0,0,3,418
1,2014,0,7308
0,0,0,2
0,0,1,1
0,0,0,6
0,0,0,146
0,0,0,2
0,0,0,11
0,0,0,77
0,0,0,10
0,0,0,4
0,0,0,4
0,0,0,2
0,0,2,260
0,0,0,137
0,0,0,7
0,0,0,2
0,0,0,8
0,0,0,91
0,0,0,5
0,0,0,341
0,0,2,11
1,2018,4,52440
0,0,1,368
0,0,0,946
0,0,11,1453
0,0,0,100
0,0,0,4
1,2016,0,256
0,0,0,2
0,0,0,141
0,0,6,1802
1,2015,0,117
0,0,0,10
0,0,0,2
0,0,0,74
0,0,0,2
0,0,0,388
0,0,0,2
0,0,0,100
0,0,0,14
0,0,3,4138
0,0,0,312
0,0,0,32
0,0,0,14
0,0,0,2
1,2017,0,19621
1,2016,0,51
0,0,0,2
0,0,1,1
0,0,1,19
1,2012,0,24139
1,2016,1,149
0,0,0,2
1,2018,0,484
0,0,0,2
0,0,0,6
0,0,0,372
1,2015,7,1993
1,2018,2,110
1,2018,1,1218
1,2018,0,16
0,0,0,26
0,0,0,18
0,0,0,69
0,0,0,211
0,0,0,2
0,0,7,98
0,0,0,21
0,0,0,2
0,0,0,179
0,0,0,113
0,0,0,8278
0,0,0,154
0,0,0,2
0,0,0,16
0,0,2,102
0,0,3,304
0,0,0,2
0,0,0,2
1,2013,0,1066
0,0,0,8
0,0,0,22
0,0,2,10
0,0,0,74
1,2016,0,48
0,0,0,72
0,0,2,3197
0,0,0,1547
0,0,0,105
1,2019,0,94
1,2017,0,2
0,0,0,15
0,0,2,35
1,2018,0,218
1,2013,0,66
0,0,0,76
0,0,0,5
0,0,0,101
0,0,9,452
0,0,0,140
0,0,1,51
0,0,1,35
0,0,0,2
0,0,0,2
0,0,0,10
0,0,0,2
1,2018,0,2
1,2012,0,137
0,0,0,6
0,0,0,2569
0,0,0,1
0,0,0,39
0,0,0,4
0,0,0,4
1,2017,1,24
0,0,0,2
1,2014,30,34316
0,0,0,6
1,2014,0,219
0,0,2,10
1,2012,0,1384
0,0,0,358
0,0,0,3
0,0,0,2
0,0,0,20
0,0,0,194
0,0,0,2
0,0,0,10
0,0,6,115
0,0,6,96
0,0,0,71
0,0,0,70
0,0,0,6
0,0,0,79
1,2014,0,8
0,0,0,38
0,0,0,2
0,0,0,181
0,0,0,200
0,0,0,5
0,0,0,1
0,0,6,62
1,2015,0,8
0,0,0,38
0,0,0,2
0,0,0,30
0,0,2,297
0,0,0,4
0,0,0,2
0,0,15,1039
0,0,0,254
0,0,0,629
0,0,0,16
0,0,0,2
1,2015,0,22810
0,0,0,2
1,2014,0,2788
1,2015,0,14
0,0,0,315
0,0,0,1
0,0,0,2
0,0,0,152
1,2019,1,49
1,2019,0,60
0,0,0,25
0,0,1,11
0,0,0,50
0,0,0,5
1,2015,0,29
0,0,0,16
0,0,0,6
0,0,6,259
0,0,0,7
1,2014,0,52
1,2014,0,2877
1,2019,0,754
0,0,0,2
0,0,0,28
0,0,2,11
0,0,0,2
0,0,0,90
1,2015,0,2
1,2017,0,2
0,0,0,5
0,0,0,18
0,0,0,3550
1,2015,0,2
0,0,0,498
0,0,0,5
0,0,0,25
0,0,0,40
1,2014,0,54
