Month,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled
2015-09,0,0,18,208,0,0,0,0,18,0,0,0,0,0,0,0,1266,390,0,84,0,21,672,0,183,0,0,215,39,144,3008,0,0,0,0,0,0,0,0,0,33,0,0,0,13,0,0,0,136,0,0,0,0,0,0,236,0,0,0,0,0,360,2665,0,0,4877
2015-10,0,0,0,0,0,0,0,0,61,0,0,17,0,0,41,0,64,1499,0,17,0,0,0,0,0,0,2058,52,0,0,37,0,142,22,0,0,0,0,236,0,0,0,0,0,9,0,0,0,0,0,0,24,0,46,0,0,0,0,0,0,0,4,1169,0,0,5483
2015-11,0,0,0,186,0,0,0,0,23,0,0,0,0,0,0,0,492,1657,0,0,0,0,0,0,0,0,0,1157,0,0,0,0,0,52,0,0,0,0,0,0,1547,175,0,0,94,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1232,1170,0,0,13314
2015-12,0,0,0,0,0,0,0,0,0,0,0,27,0,349,0,0,213,1822,0,428,0,0,140,0,0,0,0,4664,0,0,396,0,0,0,0,99,0,0,0,0,0,0,0,0,1552,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,269,4525,0,0,11123
2016-01,0,0,0,0,0,0,0,0,1243,0,0,197,0,0,0,0,3027,33,0,0,0,3,0,0,0,0,0,229,0,0,0,0,0,0,0,1041,0,0,0,0,291,0,0,0,121,0,0,0,349,21,323,0,0,367,0,0,0,0,0,0,0,0,4013,0,0,6838
2016-02,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,762,721,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,0,0,91,0,10,0,0,0,227,0,0,0,168,70,0,0,0,33,0,82,0,0,0,0,0,0,3100,0,0,14595
2016-03,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,847,2571,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,0,0,594,0,0,0,0,86,0,0,0,226,0,0,0,8,0,0,0,0,0,0,2787,0,0,0,0,0,484,1436,0,0,23884
2016-04,0,0,0,0,0,0,0,0,425,0,0,179,0,0,47,0,126,941,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,1497,0,0,0,0,0,0,0,242,918,0,0,416,0,1187,0,0,0,315,0,1333,0,0,0,0,0,11111,1439,0,0,23210
2016-05,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,109,1044,0,0,0,0,0,0,0,0,526,788,0,0,0,0,0,1110,0,268,0,0,0,0,0,64,0,269,128,0,0,0,1861,0,0,0,0,2674,0,125,0,0,0,0,0,1172,1059,0,0,23102
2016-06,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,147,0,0,0,0,0,0,0,0,0,0,0,2729,0,0,0,0,0,2039,0,0,0,0,0,0,0,44,1194,0,0,24835
